Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Trip duration (mins)
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,41
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,49
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,60
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,52
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,35.65
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,34.0833333333333
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,64.05
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,44.3
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,67.2333333333333
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,46.1833333333333
312,City,5,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7,64
577,Airport,5,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,58
1179,City,5,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20,47
1756,Airport,5,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8,43
2052,City,5,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14,62
2559,City,5,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21,57
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,61.55
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,32.1833333333333
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,66.6166666666667
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,58.2833333333333
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,69.3166666666667
1517,Airport,6,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5,43
1999,Airport,6,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13,49
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,50.0333333333333
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,52.35
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,53.2166666666667
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,48.1166666666667
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,51.8
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,64
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,46.0666666666667
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,65.05
1039,City,7,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19,70
1273,Airport,7,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22,65
2480,City,7,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20,49
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,59.4333333333333
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,65.8
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,58.4166666666667
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,50.1833333333333
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,46.6833333333333
380,Airport,8,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,60
1050,Airport,8,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,51
1769,City,8,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,27
2520,City,8,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,75
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,44.9166666666667
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,64.4
449,Airport,9,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,44
846,Airport,9,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,66
1346,Airport,9,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,44
1474,Airport,9,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,43
2240,City,9,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,34
3072,Airport,9,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,31.6666666666667
3459,Airport,9,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,28.3166666666667
3774,Airport,9,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,46.0833333333333
4023,City,9,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,59.9666666666667
4117,City,9,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,45.4166666666667
4880,Airport,9,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,63.9333333333333
5568,Airport,9,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,38
5994,Airport,9,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,40.9333333333333
1809,Airport,10,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,48
2064,Airport,10,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,66
3210,City,10,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,65.5166666666667
4350,City,10,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,57.4333333333333
4713,City,10,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,39.5333333333333
5629,Airport,10,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,46.8833333333333
6157,Airport,10,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,71.8833333333333
2030,City,11,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,51
3226,City,11,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,62.5833333333333
3353,City,11,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,39.2666666666667
4293,City,11,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,30.0833333333333
4936,City,11,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,52.3166666666667
5661,Airport,11,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,50.1666666666667
5778,City,11,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,51.0166666666667
6425,Airport,11,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,40.1833333333333
45,Airport,12,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,52
264,City,12,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,49
1183,City,12,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,33
1536,Airport,12,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,60
2437,City,12,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,68
2641,Airport,12,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,37
4077,Airport,12,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,58.9
4610,City,12,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,63.7833333333333
5066,Airport,12,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,42.7166666666667
5666,Airport,12,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,67.7
5923,City,12,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,43.0166666666667
6367,City,12,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,41.3
155,City,13,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,56
310,Airport,13,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,64
607,City,13,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,51
1012,City,13,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,42
1696,Airport,13,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,41
3076,City,13,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,63.25
4198,Airport,13,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,73.3
4627,City,13,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,46.8833333333333
5289,City,13,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,40.8166666666667
5495,Airport,13,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,62.2333333333333
6656,Airport,13,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,32.6
139,Airport,14,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,48
215,City,14,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,52
1816,City,14,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,43
2505,Airport,14,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,71
3346,City,14,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,54.2833333333333
5294,City,14,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,30.8333333333333
6226,Airport,14,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,58.8
6733,Airport,14,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,65.0333333333333
1027,Airport,15,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,66
2675,Airport,15,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,52.2
3200,City,15,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,51.2333333333333
3865,City,15,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,29.1666666666667
4468,City,15,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,39.25
5163,Airport,15,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,30.8
6009,City,15,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,62.8666666666667
6448,Airport,15,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,37.85
591,City,16,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,66
709,City,16,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,47
1167,Airport,16,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,62
2661,Airport,16,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,64.35
2808,City,16,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,50.9166666666667
3258,Airport,16,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,32.6166666666667
3413,Airport,16,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,73.7166666666667
3939,Airport,16,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,29.4666666666667
4125,City,16,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,69.3
4457,City,16,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,42.9333333333333
4728,City,16,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,62.45
5347,Airport,16,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,61.9166666666667
6147,City,16,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,79.1
6496,Airport,16,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,59.8166666666667
634,City,17,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,41
939,Airport,17,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,61
2628,Airport,17,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,75
3021,City,17,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,52.7833333333333
4743,City,17,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,44.7833333333333
4981,City,17,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,56.0333333333333
5367,Airport,17,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,49.8666666666667
5471,Airport,17,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,58.2666666666667
5988,Airport,17,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,66.5
6477,Airport,17,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,39.0833333333333
499,City,18,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,37
1147,Airport,18,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,36
1410,Airport,18,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,73
1804,Airport,18,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,45
1949,Airport,18,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,41
2713,City,18,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,50.4333333333333
2845,City,18,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,42.1833333333333
3943,Airport,18,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,57.7
4792,City,18,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,47.4
5207,Airport,18,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,58.6666666666667
5890,City,18,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,71.4166666666667
494,City,19,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,26
1485,City,19,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,74
2042,City,19,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14,39
2561,Airport,19,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21,75
3813,Airport,19,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,39.45
4260,Airport,19,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,47.9166666666667
4395,City,19,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,54.4
5919,City,19,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,55.75
6002,Airport,19,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,49.35
468,City,20,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9,45
693,Airport,20,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13,70
1178,City,20,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21,61
2103,City,20,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16,70
2292,Airport,20,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18,37
3339,City,20,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,49.4666666666667
3694,City,20,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,61.8166666666667
4469,City,20,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,62.9166666666667
6432,City,20,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,39.1333333333333
1895,City,21,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10,32
1981,Airport,21,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12,33
3744,Airport,21,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,54.5166666666667
4433,Airport,21,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,45.5
6039,Airport,21,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,26.95
6543,City,21,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,78.2666666666667
110,City,22,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5,61
362,City,22,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8,77
666,Airport,22,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13,43
926,City,22,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18,66
1180,Airport,22,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21,73
1900,City,22,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10,70
2506,City,22,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21,37
3064,City,22,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,8,56.7166666666667
3327,Airport,22,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,12,58.9666666666667
3601,City,22,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,18,50.1166666666667
4768,Airport,22,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,15,69.65
5142,City,22,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,20,31.1166666666667
5366,Airport,22,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,23,52.4666666666667
5575,City,22,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,5,56.1166666666667
5902,City,22,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,9,44.1333333333333
6694,Airport,22,Trip Completed,2016-07-15 22:45:44,2016-07-15 23:17:53,22,32.15
523,Airport,23,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9,49
747,City,23,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15,50
1371,Airport,23,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0,71
1553,City,23,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6,60
1692,Airport,23,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7,69
2114,City,23,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16,45
2742,City,23,Trip Completed,2016-07-13 03:07:37,2016-07-13 03:51:35,3,43.9666666666667
4273,City,23,Trip Completed,2016-07-14 06:17:01,2016-07-14 07:02:28,6,45.45
4668,City,23,Trip Completed,2016-07-14 12:25:02,2016-07-14 13:34:58,12,69.9333333333333
5425,City,23,Trip Completed,2016-07-15 02:23:56,2016-07-15 03:08:35,2,44.65
5488,City,23,Trip Completed,2016-07-15 04:53:42,2016-07-15 06:00:16,4,66.5666666666667
5781,City,23,Trip Completed,2016-07-15 08:35:47,2016-07-15 09:42:27,8,66.6666666666667
5966,Airport,23,Trip Completed,2016-07-15 10:54:27,2016-07-15 11:58:44,10,64.2833333333333
6122,City,23,Trip Completed,2016-07-15 15:26:06,2016-07-15 16:29:40,15,63.5666666666667
357,Airport,24,Trip Completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8,68
1068,City,24,Trip Completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19,56
2689,Airport,24,Trip Completed,2016-07-13 00:34:03,2016-07-13 01:49:08,0,75.0833333333333
2791,City,24,Trip Completed,2016-07-13 04:56:20,2016-07-13 05:33:20,4,37
3321,City,24,Trip Completed,2016-07-13 12:23:02,2016-07-13 13:25:14,12,62.2
3423,Airport,24,Trip Completed,2016-07-13 15:52:07,2016-07-13 16:50:46,15,58.65
3761,Airport,24,Trip Completed,2016-07-13 20:35:24,2016-07-13 21:39:02,20,63.6333333333333
4140,City,24,Trip Completed,2016-07-14 04:48:09,2016-07-14 06:05:01,4,76.8666666666667
4656,City,24,Trip Completed,2016-07-14 12:06:27,2016-07-14 12:49:14,12,42.7833333333333
4931,Airport,24,Trip Completed,2016-07-14 18:21:52,2016-07-14 18:54:03,18,32.1833333333333
5268,City,24,Trip Completed,2016-07-14 21:29:35,2016-07-14 22:30:11,21,60.6
5811,City,24,Trip Completed,2016-07-15 08:46:30,2016-07-15 09:26:33,8,40.05
6139,Airport,24,Trip Completed,2016-07-15 15:45:16,2016-07-15 16:40:41,15,55.4166666666667
6333,Airport,24,Trip Completed,2016-07-15 18:41:22,2016-07-15 19:53:29,18,72.1166666666667
773,City,25,Trip Completed,2016-07-11 16:23:00,2016-07-11 17:21:00,16,58
1123,City,25,Trip Completed,2016-07-11 20:20:00,2016-07-11 21:18:00,20,58
2667,Airport,25,Trip Completed,2016-07-12 23:35:00,2016-07-13 00:40:52,23,65.8666666666667
2833,City,25,Trip Completed,2016-07-13 05:27:26,2016-07-13 06:19:18,5,51.8666666666667
3396,City,25,Trip Completed,2016-07-13 14:59:08,2016-07-13 15:57:24,14,58.2666666666667
3590,City,25,Trip Completed,2016-07-13 18:31:29,2016-07-13 19:31:56,18,60.45
3762,City,25,Trip Completed,2016-07-13 20:38:10,2016-07-13 21:21:24,20,43.2333333333333
4566,City,25,Trip Completed,2016-07-14 09:48:56,2016-07-14 10:22:52,9,33.9333333333333
4862,City,25,Trip Completed,2016-07-14 17:37:44,2016-07-14 18:41:40,17,63.9333333333333
5564,Airport,25,Trip Completed,2016-07-15 05:41:11,2016-07-15 06:53:22,5,72.1833333333333
6187,City,25,Trip Completed,2016-07-15 17:11:08,2016-07-15 18:08:11,17,57.05
6642,City,25,Trip Completed,2016-07-15 22:07:14,2016-07-15 22:54:02,22,46.8
322,City,26,Trip Completed,2016-07-11 07:31:00,2016-07-11 08:10:00,7,39
793,City,26,Trip Completed,2016-07-11 17:04:00,2016-07-11 18:06:00,17,62
898,Airport,26,Trip Completed,2016-07-11 18:14:00,2016-07-11 19:09:00,18,55
1258,City,26,Trip Completed,2016-07-11 21:51:00,2016-07-11 23:00:00,21,69
2832,City,26,Trip Completed,2016-07-13 05:20:16,2016-07-13 06:14:07,5,53.85
3139,City,26,Trip Completed,2016-07-13 08:54:04,2016-07-13 09:22:42,8,28.6333333333333
3438,City,26,Trip Completed,2016-07-13 16:12:53,2016-07-13 17:13:44,16,60.85
3966,Airport,26,Trip Completed,2016-07-13 22:50:42,2016-07-13 23:27:43,22,37.0166666666667
6401,Airport,26,Trip Completed,2016-07-15 19:33:00,2016-07-15 20:16:57,19,43.95
204,City,27,Trip Completed,2016-07-11 06:04:00,2016-07-11 06:44:00,6,40
632,Airport,27,Trip Completed,2016-07-11 12:20:00,2016-07-11 13:10:00,12,50
763,City,27,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:25:00,16,66
1786,Airport,27,Trip Completed,2016-07-12 09:03:00,2016-07-12 09:58:00,9,55
1968,City,27,Trip Completed,2016-07-12 12:10:00,2016-07-12 12:49:00,12,39
2088,Airport,27,Trip Completed,2016-07-12 15:51:00,2016-07-12 17:02:00,15,71
2473,Airport,27,Trip Completed,2016-07-12 20:43:00,2016-07-12 21:20:00,20,37
2869,Airport,27,Trip Completed,2016-07-13 05:50:09,2016-07-13 06:27:07,5,36.9666666666667
3742,Airport,27,Trip Completed,2016-07-13 20:24:23,2016-07-13 20:48:05,20,23.7
4440,Airport,27,Trip Completed,2016-07-14 08:26:29,2016-07-14 09:00:36,8,34.1166666666667
5234,City,27,Trip Completed,2016-07-14 21:09:47,2016-07-14 21:52:37,21,42.8333333333333
6354,Airport,27,Trip Completed,2016-07-15 18:59:01,2016-07-15 19:35:10,18,36.15
6638,City,27,Trip Completed,2016-07-15 21:59:10,2016-07-15 23:13:18,21,74.1333333333333
84,City,28,Trip Completed,2016-07-11 04:50:00,2016-07-11 05:26:00,4,36
1199,City,28,Trip Completed,2016-07-11 21:17:00,2016-07-11 21:53:00,21,36
1676,Airport,28,Trip Completed,2016-07-12 07:44:00,2016-07-12 08:40:00,7,56
2774,City,28,Trip Completed,2016-07-13 04:33:38,2016-07-13 05:13:54,4,40.2666666666667
3220,Airport,28,Trip Completed,2016-07-13 09:51:41,2016-07-13 10:24:39,9,32.9666666666667
3718,Airport,28,Trip Completed,2016-07-13 19:56:20,2016-07-13 20:47:17,19,50.95
4904,Airport,28,Trip Completed,2016-07-14 18:02:23,2016-07-14 18:58:49,18,56.4333333333333
6527,Airport,28,Trip Completed,2016-07-15 20:54:01,2016-07-15 21:53:29,20,59.4666666666667
6710,City,28,Trip Completed,2016-07-15 23:02:36,2016-07-16 00:12:12,23,69.6
1584,Airport,29,Trip Completed,2016-07-12 06:26:00,2016-07-12 07:18:00,6,52
1966,Airport,29,Trip Completed,2016-07-12 12:05:00,2016-07-12 13:12:00,12,67
2827,City,29,Trip Completed,2016-07-13 05:18:31,2016-07-13 06:18:22,5,59.85
2945,Airport,29,Trip Completed,2016-07-13 06:34:13,2016-07-13 07:28:05,6,53.8666666666667
3365,City,29,Trip Completed,2016-07-13 13:47:14,2016-07-13 14:51:51,13,64.6166666666667
